month,NON-BINARY-THEY,GENERIC-THEY,GENERIC-HE,TEXTS-SUM
10-01,602,599,539,25136
10-02,546,594,494,24947
10-03,628,644,554,28131
10-04,544,577,526,26460
10-05,597,646,593,27342
10-06,667,726,593,29558
10-07,660,820,608,29838
10-08,640,705,601,29739
10-09,650,733,679,30794
10-10,690,716,717,31787
10-11,743,836,647,31006
10-12,696,769,605,28488
11-01,766,929,682,33148
11-02,685,940,637,31472
11-03,777,1105,715,35087
11-04,789,987,705,33075
11-05,828,1154,821,36286
11-06,877,1070,844,36719
11-07,895,1043,813,36906
11-08,896,1159,807,38396
11-09,923,1227,907,41170
11-10,939,1212,859,38735
11-11,861,1139,835,37918
11-12,832,1067,831,35004
12-01,972,1393,918,42247
12-02,952,1304,927,40164
12-03,990,1502,941,43657
12-04,912,1307,861,42119
12-05,1074,1492,994,47766
12-06,965,1431,951,44037
12-07,976,1263,935,45041
12-08,980,1404,905,45024
12-09,925,1297,926,42844
12-10,1029,1452,958,46184
12-11,1018,1390,982,45430
12-12,843,1081,842,40139
13-01,934,1293,947,47211
13-02,879,1314,782,43009
13-03,917,1376,935,47543
13-04,949,1269,870,47024
13-05,1113,1483,973,52322
13-06,1031,1361,817,45604
13-07,1034,1318,858,47729
13-08,1049,1429,903,49078
13-09,1090,1465,887,49440
13-10,1027,1508,980,52082
13-11,986,1461,831,49056
13-12,1056,1277,910,47040
14-01,1026,1420,961,52169
14-02,942,1414,855,47964
14-03,1172,1528,895,51894
14-04,1026,1455,934,50896
14-05,1151,1530,1041,54033
14-06,1136,1340,905,51847
14-07,1225,1553,1009,55521
14-08,1145,1431,907,50677
14-09,1171,1533,976,54507
14-10,1186,1600,1077,57534
14-11,1149,1455,1022,53512
14-12,1213,1524,1040,57494
15-01,1063,1475,956,54551
15-02,1079,1488,873,53184
15-03,1154,1582,1037,61341
15-04,1143,1659,1016,57710
15-05,1206,1591,1122,57175
15-06,1201,1636,975,58237
15-07,1111,1484,1024,57784
15-08,1013,1418,852,52652
15-09,1008,1412,925,53081
15-10,1475,2021,1314,73509
15-11,2197,2851,1992,109572
15-12,2443,3067,2126,122828
16-01,3725,5024,3348,167086
16-02,3732,4994,3457,158711
16-03,5932,7390,5026,251021
16-04,5121,7306,4500,246601
16-05,5082,7175,4701,246565
16-06,4371,6333,4035,207779
16-07,3964,5842,3650,195574
16-08,5617,7380,5464,274801
16-09,5300,7005,4955,259503
16-10,5685,7266,4980,268390
16-11,5428,7621,5138,260425
16-12,5452,6988,4985,258726
17-01,5774,7299,5741,254766
17-02,4505,4976,3809,211982
17-03,6303,7794,5940,292177
17-04,5480,6920,4882,258420
17-05,5954,7912,5218,294604
17-06,5383,7066,4729,264236
17-07,5592,7499,4911,282330
17-08,5608,7568,4938,286413
17-09,5545,7978,4694,291334
17-10,6180,6913,5316,306561
17-11,5506,7493,4826,282699
17-12,4758,6770,3911,249871
18-01,4216,5790,3686,215840
18-02,4530,6178,3874,223228
18-03,4593,6388,3921,246177
18-04,4111,5319,3326,215681
18-06,4275,5856,3368,231783
18-07,4414,5067,3648,231174
18-08,3032,3390,2661,155281
18-09,5861,6498,5237,292487
18-10,5637,6547,4966,286805
18-11,5332,5928,4797,269695
18-12,5169,5665,4581,249868
19-01,5689,6951,5365,300542
19-02,5515,6447,4820,285308
19-03,5563,6495,4858,283532
19-04,6305,6735,5463,288534
19-05,6204,6848,5946,289733
19-06,6285,6884,5769,297241
19-07,3370,3197,2895,157636
19-10,5539,6712,4485,324318
19-11,6186,7363,4764,344406
19-12,6263,8100,4860,339741
